CEV L'HOSPITALET;4422;1ª DIVISIÓ JUVENIL MASCULINA;B;Grup: B
CEV L'HOSPITALET;4426;1ª DIVISIÓ CADET MASCULINA;B;Grup: B
CEV L'HOSPITALET 'A';4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CEV L'HOSPITALET 'B';4356;2ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CEV L'HOSPITALET 'B';4400;3ª DIVISIÓ JUVENIL FEMENINA;J;Grup: J
CEV L'HOSPITALET 'B';4401;3ª DIVISIÓ CADET FEMENINA;J;Grup: J
CEV L'HOSPITALET NEGRE;4408;2ª DIVISIÓ INFANTIL FEMENINA;G;Grup: G
CEV L'HOSPITALET VERMELL;4410;2ª DIVISIÓ INFANTIL FEMENINA;I;Grup: I
CEVOL TORREDEMBARRA;4358;3ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CEVOL TORREDEMBARRA;4390;3ª DIVISIÓ JUVENIL FEMENINA;E;Grup: E
CEVOL TORREDEMBARRA;4391;3ª DIVISIÓ CADET FEMENINA;E;Grup: E
CEVOL TORREDEMBARRA;4415;LLIGA PREFERENT CADET FEMENINA;B;Grup: B
CEVOL TORREDEMBARRA;4405;2ª DIVISIÓ INFANTIL FEMENINA;D;Grup: D
CH BORDILS 'B';4359;3ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CH BORDILS BLANC;4347;1ª DIVISIÓ JUVENIL FEMENINA;A;Grup: A
CH BORDILS BLANC;4349;1ª DIVISIÓ CADET FEMENINA;A;Grup: A
CH BORDILS BLANC;4348;1ª DIVISIÓ INFANTIL FEMENINA;A;Grup: A
CLUB JOVENTUT LES CORTS;4357;3ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CLUB JOVENTUT LES CORTS;4403;2ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CLUB JOVENTUT LES CORTS GROC;4411;2ª DIVISIÓ INFANTIL FEMENINA;J;Grup: J
CLUB JOVENTUT LES CORTS VERD;4413;2ª DIVISIÓ INFANTIL FEMENINA;L;Grup: L
CLUB VÒLEI BLANES;4374;2ª DIVISIÓ SÈNIOR MASCULINA;C;Grup: C
CLUB VÒLEI BLANES;4378;4ª DIVISIÓ SÈNIOR FEMENINA;C;Grup: C
CLUB VÒLEI BLANES;4385;3ª DIVISIÓ JUVENIL FEMENINA;C;Grup: C
CLUB VÒLEI BLANES;4387;3ª DIVISIÓ CADET FEMENINA;C;Grup: C
CLUB VÒLEI LA PALMA;4358;3ª DIVISIÓ SÈNIOR FEMENINA;B;Grup: B
CLUB VÒLEI LA PALMA;4370;2ª DIVISIÓ JUVENIL FEMENINA;D;Grup: D
CLUB VÒLEI LA PALMA;4371;2ª DIVISIÓ CADET FEMENINA;D;Grup: D
CLUB VÒLEI LA PALMA;4414;LLIGA PREFERENT CADET FEMENINA;A;Grup: A
CLUB VÒLEI LA PALMA BLAU;4410;2ª DIVISIÓ INFANTIL FEMENINA;I;Grup: I
CLUB VÒLEI LA PALMA NEGRE;4411;2ª DIVISIÓ INFANTIL FEMENINA;J;Grup: J
CLUB VÒLEI OLOT - HOTEL L'ALTA GARROTXA;4345;1ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
CLUB VOLEI OLOT 'A';4352;1ª DIVISIÓ INFANTIL FEMENINA;B;Grup: B
CLUB VOLEI OLOT 'B';4407;2ª DIVISIÓ INFANTIL FEMENINA;F;Grup: F
CLUB VOLEI TARADELL;4396;3ª DIVISIÓ JUVENIL FEMENINA;H;Grup: H
CLUB VOLEI TARADELL;4397;3ª DIVISIÓ CADET FEMENINA;H;Grup: H
CLUB VOLEI TARADELL;4404;2ª DIVISIÓ INFANTIL FEMENINA;C;Grup: C
CLUB VOLEIBOL AVINYÓ;4372;2ª DIVISIÓ SÈNIOR MASCULINA;A;Grup: A
CLUB VOLEIBOL AVINYÓ;4380;4ª DIVISIÓ SÈNIOR FEMENINA;A;Grup: A
